                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.72661,                0.50297,                 1.0938,                0.93495,                0.95331,                0.98365,                0.82443,                0.69818,                0.38674,                 1.1604,               0.008812,               0.008812,               0.008812
                     62,                 0.7333,                0.49743,                 1.1059,                0.96598,                0.94769,                 0.9851,                0.81638,                 0.6945,                0.36086,                 1.1658,              0.0087922,              0.0087922,              0.0087922
                     63,                0.74331,                0.49788,                 1.1081,                0.95551,                0.93245,                0.98069,                0.81376,                0.71461,                0.38388,                 1.1748,              0.0087724,              0.0087724,              0.0087724
                     64,                0.71023,                0.47128,                 1.0893,                0.96439,                0.94311,                0.98532,                0.82548,                0.70362,                 0.3579,                 1.1646,              0.0087526,              0.0087526,              0.0087526
                     65,                0.73256,                0.48428,                 1.0967,                0.94747,                0.95599,                0.98521,                0.82162,                0.68748,                0.35703,                 1.1512,              0.0087328,              0.0087328,              0.0087328
                     66,                0.71257,                0.47364,                 1.0919,                0.95342,                0.95652,                0.98591,                 0.8262,                  0.686,                0.34623,                 1.1572,               0.008713,               0.008713,               0.008713
                     67,                0.71181,                 0.4741,                 1.0867,                0.94438,                0.94757,                0.98465,                0.81896,                0.70904,                0.36932,                 1.1699,              0.0086932,              0.0086932,              0.0086932
                     68,                0.72132,                0.47884,                 1.0952,                0.95099,                0.93866,                0.98046,                0.82106,                0.70774,                0.37095,                 1.1779,              0.0086734,              0.0086734,              0.0086734
                     69,                0.70687,                0.46426,                 1.0855,                0.95306,                0.95781,                0.98699,                0.83706,                0.67393,                0.33717,                 1.1434,              0.0086536,              0.0086536,              0.0086536
                     70,                0.70252,                0.46714,                 1.0857,                0.94521,                0.91957,                0.98039,                0.82497,                0.68376,                0.39847,                  1.158,              0.0086338,              0.0086338,              0.0086338
                     71,                0.70028,                 0.4591,                 1.0773,                 0.9583,                0.95108,                 0.9888,                0.83021,                 0.6874,                0.34129,                 1.1498,               0.008614,               0.008614,               0.008614
                     72,                 0.7064,                0.46485,                 1.0783,                0.95831,                0.94794,                0.98639,                0.82715,                0.68657,                0.35045,                 1.1406,              0.0085942,              0.0085942,              0.0085942
                     73,                0.70442,                0.45306,                 1.0837,                0.94731,                0.96093,                0.98538,                0.83189,                0.67799,                0.33701,                 1.1351,              0.0085744,              0.0085744,              0.0085744
                     74,                0.70906,                0.44791,                 1.0822,                0.95137,                0.96401,                0.98477,                0.82737,                0.68255,                0.33627,                 1.1491,              0.0085546,              0.0085546,              0.0085546
                     75,                0.70525,                0.46441,                 1.0817,                0.93888,                0.95239,                0.98226,                0.82517,                 0.6952,                 0.3627,                 1.1486,              0.0085348,              0.0085348,              0.0085348
                     76,                0.70805,                0.45565,                 1.0759,                0.95866,                0.95448,                0.98527,                0.82654,                0.69323,                0.35148,                 1.1535,               0.008515,               0.008515,               0.008515
                     77,                0.70642,                0.45164,                 1.0814,                0.95176,                0.96825,                0.98696,                0.83439,                0.67696,                0.32967,                 1.1361,              0.0084952,              0.0084952,              0.0084952
                     78,                0.71788,                0.45769,                 1.0895,                0.94084,                0.95959,                0.98572,                0.83243,                0.67994,                0.36021,                 1.1432,              0.0084754,              0.0084754,              0.0084754
